{'loss': 0.206, 'grad_norm': 0.2683066129684448, 'learning_rate': 0.00014811859444908052, 'epoch': 2.51}
{'loss': 0.2223, 'grad_norm': 0.26461541652679443, 'learning_rate': 0.0001462147568039977, 'epoch': 2.56}
{'loss': 0.2105, 'grad_norm': 0.294682115316391, 'learning_rate': 0.00014428937460242417, 'epoch': 2.61}
{'loss': 0.2224, 'grad_norm': 0.22245590388774872, 'learning_rate': 0.00014234334542574906, 'epoch': 2.65}
{'loss': 0.2289, 'grad_norm': 0.3149425983428955, 'learning_rate': 0.00014037757648064018, 'epoch': 2.7}
{'loss': 0.2352, 'grad_norm': 0.2837717533111572, 'learning_rate': 0.00013839298417611963, 'epoch': 2.74}
{'loss': 0.2309, 'grad_norm': 0.3348584473133087, 'learning_rate': 0.00013639049369634876, 'epoch': 2.79}
{'loss': 0.2224, 'grad_norm': 0.26766136288642883, 'learning_rate': 0.00013437103856932264, 'epoch': 2.84}
{'loss': 0.2219, 'grad_norm': 0.3027492165565491, 'learning_rate': 0.00013233556023167485, 'epoch': 2.88}
{'loss': 0.2164, 'grad_norm': 0.26160019636154175, 'learning_rate': 0.00013028500758979506, 'epoch': 2.93}
{'loss': 0.2198, 'grad_norm': 0.3355060815811157, 'learning_rate': 0.00012822033657746478, 'epoch': 2.98}
{'loss': 0.1974, 'grad_norm': 0.22609643638134003, 'learning_rate': 0.00012614250971021657, 'epoch': 3.02}
{'loss': 0.1749, 'grad_norm': 0.37090787291526794, 'learning_rate': 0.00012405249563662537, 'epoch': 3.07}
{'loss': 0.1635, 'grad_norm': 0.2575077414512634, 'learning_rate': 0.00012195126868674051, 'epoch': 3.12}
{'loss': 0.1664, 'grad_norm': 0.393394410610199, 'learning_rate': 0.000119839808417869, 'epoch': 3.16}
{'loss': 0.172, 'grad_norm': 0.2952173352241516, 'learning_rate': 0.0001177190991579223, 'epoch': 3.21}
{'loss': 0.1718, 'grad_norm': 0.32671377062797546, 'learning_rate': 0.00011559012954653865, 'epoch': 3.26}
{'loss': 0.1677, 'grad_norm': 0.2918470799922943, 'learning_rate': 0.00011345389207419588, 'epoch': 3.3}
{'loss': 0.1743, 'grad_norm': 0.2986874282360077, 'learning_rate': 0.00011131138261952845, 'epoch': 3.35}
{'loss': 0.1824, 'grad_norm': 0.3547966778278351, 'learning_rate': 0.0001091635999850655, 'epoch': 3.4}
{'loss': 0.1733, 'grad_norm': 0.34529951214790344, 'learning_rate': 0.00010701154543160541, 'epoch': 3.44}
{'loss': 0.168, 'grad_norm': 0.37937769293785095, 'learning_rate': 0.00010485622221144484, 'epoch': 3.49}
{'loss': 0.1781, 'grad_norm': 0.33159545063972473, 'learning_rate': 0.00010269863510067872, 'epoch': 3.54}
{'loss': 0.1648, 'grad_norm': 0.28377366065979004, 'learning_rate': 0.00010053978993079045, 'epoch': 3.58}
{'loss': 0.1747, 'grad_norm': 0.34700894355773926, 'learning_rate': 9.838069311974986e-05, 'epoch': 3.63}
{'loss': 0.1701, 'grad_norm': 0.27448248863220215, 'learning_rate': 9.622235120283769e-05, 'epoch': 3.68}
{'loss': 0.1644, 'grad_norm': 0.2817367613315582, 'learning_rate': 9.406577036341548e-05, 'epoch': 3.72}
{'loss': 0.1827, 'grad_norm': 0.40636175870895386, 'learning_rate': 9.19119559638596e-05, 'epoch': 3.77}
{'loss': 0.1666, 'grad_norm': 0.27617916464805603, 'learning_rate': 8.976191207687775e-05, 'epoch': 3.82}
{'loss': 0.1667, 'grad_norm': 0.3182293176651001, 'learning_rate': 8.7616641017427e-05, 'epoch': 3.86}
{'loss': 0.1704, 'grad_norm': 0.33650287985801697, 'learning_rate': 8.5477142875451e-05, 'epoch': 3.91}
{'loss': 0.1734, 'grad_norm': 0.4073616862297058, 'learning_rate': 8.334441504965455e-05, 'epoch': 3.95}
{'loss': 0.1665, 'grad_norm': 0.23792241513729095, 'learning_rate': 8.1219451782533e-05, 'epoch': 4.0}
{'loss': 0.1333, 'grad_norm': 0.4431191384792328, 'learning_rate': 7.91032436968725e-05, 'epoch': 4.05}
{'loss': 0.1247, 'grad_norm': 0.3104848563671112, 'learning_rate': 7.699677733393826e-05, 'epoch': 4.09}
{'loss': 0.1339, 'grad_norm': 0.3014800250530243, 'learning_rate': 7.490103469356513e-05, 'epoch': 4.14}
{'loss': 0.1258, 'grad_norm': 0.38002681732177734, 'learning_rate': 7.281699277636572e-05, 'epoch': 4.19}
{'loss': 0.131, 'grad_norm': 0.3853185474872589, 'learning_rate': 7.07456231282686e-05, 'epoch': 4.23}
{'loss': 0.1233, 'grad_norm': 0.34981176257133484, 'learning_rate': 6.868789138759976e-05, 'epoch': 4.28}
{'loss': 0.1282, 'grad_norm': 0.29683494567871094, 'learning_rate': 6.664475683491796e-05, 'epoch': 4.33}
{'loss': 0.1291, 'grad_norm': 0.37787291407585144, 'learning_rate': 6.461717194581393e-05, 'epoch': 4.37}
{'loss': 0.1264, 'grad_norm': 0.4032013416290283, 'learning_rate': 6.260608194688206e-05, 'epoch': 4.42}
{'loss': 0.1354, 'grad_norm': 0.36257171630859375, 'learning_rate': 6.061242437507131e-05, 'epoch': 4.47}
{'loss': 0.1323, 'grad_norm': 0.36632439494132996, 'learning_rate': 5.863712864062089e-05, 'epoch': 4.51}
{'loss': 0.1284, 'grad_norm': 0.43085014820098877, 'learning_rate': 5.668111559378471e-05, 'epoch': 4.56}
{'loss': 0.1282, 'grad_norm': 0.40542474389076233, 'learning_rate': 5.474529709554612e-05, 'epoch': 4.61}
{'loss': 0.1233, 'grad_norm': 0.3400159776210785, 'learning_rate': 5.283057559252341e-05, 'epoch': 4.65}
{'loss': 0.1338, 'grad_norm': 0.42693930864334106, 'learning_rate': 5.0937843696263966e-05, 'epoch': 4.7}
{'loss': 0.1272, 'grad_norm': 0.4062158167362213, 'learning_rate': 4.9067983767123736e-05, 'epoch': 4.75}
{'loss': 0.1277, 'grad_norm': 0.322616845369339, 'learning_rate': 4.722186750292511e-05, 'epoch': 4.79}
{'loss': 0.1244, 'grad_norm': 0.47258758544921875, 'learning_rate': 4.540035553258619e-05, 'epoch': 4.84}
{'loss': 0.128, 'grad_norm': 0.35516294836997986, 'learning_rate': 4.360429701490934e-05, 'epoch': 4.89}
{'loss': 0.1322, 'grad_norm': 0.4503076672554016, 'learning_rate': 4.183452924271776e-05, 'epoch': 4.93}
{'loss': 0.1315, 'grad_norm': 0.3489229381084442, 'learning_rate': 4.009187725252309e-05, 'epoch': 4.98}
