{'loss': 0.1906, 'grad_norm': 0.24074356257915497, 'learning_rate': 0.00014811859444908052, 'epoch': 2.51}
{'loss': 0.2046, 'grad_norm': 0.22660426795482635, 'learning_rate': 0.0001462147568039977, 'epoch': 2.56}
{'loss': 0.1927, 'grad_norm': 0.27253836393356323, 'learning_rate': 0.00014428937460242417, 'epoch': 2.61}
{'loss': 0.2057, 'grad_norm': 0.22439530491828918, 'learning_rate': 0.00014234334542574906, 'epoch': 2.65}
{'loss': 0.2103, 'grad_norm': 0.2994021475315094, 'learning_rate': 0.00014037757648064018, 'epoch': 2.7}
{'loss': 0.2136, 'grad_norm': 0.25211817026138306, 'learning_rate': 0.00013839298417611963, 'epoch': 2.74}
{'loss': 0.2141, 'grad_norm': 0.29741373658180237, 'learning_rate': 0.00013639049369634876, 'epoch': 2.79}
{'loss': 0.2045, 'grad_norm': 0.2576224207878113, 'learning_rate': 0.00013437103856932264, 'epoch': 2.84}
{'loss': 0.2054, 'grad_norm': 0.27156198024749756, 'learning_rate': 0.00013233556023167485, 'epoch': 2.88}
{'loss': 0.1984, 'grad_norm': 0.23474647104740143, 'learning_rate': 0.00013028500758979506, 'epoch': 2.93}
{'loss': 0.2028, 'grad_norm': 0.28486698865890503, 'learning_rate': 0.00012822033657746478, 'epoch': 2.98}
{'loss': 0.1798, 'grad_norm': 0.20950117707252502, 'learning_rate': 0.00012614250971021657, 'epoch': 3.02}
{'loss': 0.1612, 'grad_norm': 0.3273591995239258, 'learning_rate': 0.00012405249563662537, 'epoch': 3.07}
{'loss': 0.1513, 'grad_norm': 0.25205913186073303, 'learning_rate': 0.00012195126868674051, 'epoch': 3.12}
{'loss': 0.1541, 'grad_norm': 0.40642037987709045, 'learning_rate': 0.000119839808417869, 'epoch': 3.16}
{'loss': 0.1591, 'grad_norm': 0.28582802414894104, 'learning_rate': 0.0001177190991579223, 'epoch': 3.21}
{'loss': 0.1557, 'grad_norm': 0.31466516852378845, 'learning_rate': 0.00011559012954653865, 'epoch': 3.26}
{'loss': 0.154, 'grad_norm': 0.27217042446136475, 'learning_rate': 0.00011345389207419588, 'epoch': 3.3}
{'loss': 0.1565, 'grad_norm': 0.2965850830078125, 'learning_rate': 0.00011131138261952845, 'epoch': 3.35}
{'loss': 0.1695, 'grad_norm': 0.35307276248931885, 'learning_rate': 0.0001091635999850655, 'epoch': 3.4}
{'loss': 0.1582, 'grad_norm': 0.3104367256164551, 'learning_rate': 0.00010701154543160541, 'epoch': 3.44}
{'loss': 0.1555, 'grad_norm': 0.2890324294567108, 'learning_rate': 0.00010485622221144484, 'epoch': 3.49}
